City,Population,ViolentCrime,Murder,Rape,Robbery,AggravatedAssault,PropertyCrime,Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3
Palmer,"12,171",66,0,9,2,55,193,48,139,6,3
Paxton,"4,874",7,0,2,0,5,16,5,10,1,0
Peabody,"52,501",206,1,16,22,167,685,56,586,43,0
Pelham,"1,332",0,0,0,0,0,9,3,2,4,0
Pembroke,"18,274",17,0,1,0,16,105,25,67,13,1
Pepperell,"12,242",24,0,5,0,19,88,17,70,1,1
Pittsfield,"43,031",340,3,37,39,261,"1,016",364,620,32,9
Plainville,"9,178",12,0,1,2,9,101,6,91,4,0
Plymouth,"59,088",93,1,7,13,72,377,74,284,19,1
Plympton,"2,922",1,0,0,1,0,11,4,6,1,0
Princeton,"3,465",3,1,0,0,2,18,5,13,0,0
Provincetown,"2,959",20,0,3,0,17,105,20,81,4,0
Quincy,"93,437",408,0,30,60,318,"1,506",295,"1,113",98,6
Randolph,"33,807",96,1,14,12,69,471,64,378,29,3
Raynham,"13,818",28,0,3,4,21,272,26,220,26,0
Reading,"25,779",11,0,1,5,5,176,34,136,6,0
Rehoboth,"12,033",17,0,2,1,14,104,35,65,4,1
Revere,"53,514",262,0,21,44,197,"1,142",194,835,113,3
Rochester,"5,522",12,0,0,1,11,33,11,21,1,0
Rockport,"7,222",5,0,3,1,1,15,2,13,0,1
Rowley,"6,343",7,0,1,1,5,27,10,16,1,0
Rutland,"8,599",17,0,2,0,15,62,14,44,4,0
Salem,"42,888",131,2,11,33,85,"1,033",111,877,45,2
Salisbury,"9,425",34,0,8,4,22,154,36,111,7,0
Sandwich,"20,312",33,0,3,0,30,150,29,115,6,0
Saugus,"28,131",91,0,7,19,65,572,42,499,31,0
Seekonk,"15,159",30,0,3,2,25,319,34,273,12,0
Sharon,"18,200",14,0,2,0,12,62,16,43,3,0
Shelburne,"1,839",1,0,1,0,0,9,4,5,0,0
Sherborn,"4,317",3,0,1,1,1,13,3,10,0,0
Shirley,"7,389",17,0,2,0,15,42,6,34,2,0
Shrewsbury,"36,874",4,0,0,1,3,176,47,115,14,0
Somerset,"18,223",42,0,12,5,25,218,28,171,19,1
Somerville,"80,899",206,0,14,48,144,"1,206",207,897,102,7
Southborough,"10,048",5,0,0,0,5,53,15,31,7,0
Southbridge,"16,819",52,0,13,4,35,282,54,214,14,5
South Hadley,"17,748",23,0,1,5,17,253,123,122,8,1
Southwick,"9,758",16,0,2,1,13,89,28,54,7,0
Spencer,"11,782",18,0,3,2,13,122,22,89,11,0
Springfield,"154,102","1,588",12,81,522,973,"5,073","1,486","3,000",587,46
Sterling,"7,993",11,0,3,1,7,54,19,33,2,1
Stockbridge,"1,936",4,0,2,0,2,24,8,15,1,0
Stoneham,"22,045",31,1,4,3,23,242,84,140,18,1
Stoughton,"28,583",83,1,7,9,66,440,66,348,26,2
Stow,"7,197",10,0,0,0,10,34,14,20,0,0
Sturbridge,"9,520",34,0,5,3,26,166,19,141,6,2
Sudbury,"19,035",7,0,0,0,7,41,6,34,1,0
Sunderland,"3,652",6,0,1,0,5,24,11,11,2,0
Sutton,"9,292",8,0,1,1,6,88,39,45,4,3
Swampscott,"14,551",10,0,2,0,8,186,26,154,6,5
Swansea,"16,418",33,0,3,3,27,246,29,205,12,0
Taunton,"56,720",203,5,13,36,149,749,262,397,90,7
Templeton,"8,169",6,0,1,0,5,63,17,41,5,0
Tewksbury,"31,160",63,0,10,10,43,300,42,246,12,2
Tisbury,"4,129",27,0,0,0,27,82,12,67,3,0
Topsfield,"6,590",3,0,1,0,2,11,1,10,0,0
Townsend,"9,585",15,0,3,0,12,46,11,32,3,0
Truro,"1,999",6,0,0,0,6,23,3,18,2,1
Tyngsboro,"12,397",12,0,0,1,11,63,10,50,3,0
Upton,"7,726",2,0,0,0,2,28,6,22,0,0
Wakefield,"27,080",60,0,9,7,44,210,27,169,14,2
Wales,"1,906",2,0,0,1,1,6,2,3,1,0
Walpole,"25,187",45,0,2,3,40,244,22,215,7,0
Waltham,"63,613",99,1,12,8,78,688,109,550,29,2
Ware,"9,891",58,0,4,4,50,169,20,142,7,1
Wareham,"22,422",123,0,11,15,97,446,90,330,26,4
Watertown,"34,655",38,0,3,4,31,400,29,360,11,0
Wayland,"13,760",5,0,0,2,3,6,4,1,1,0
Webster,"16,842",121,0,14,9,98,292,56,209,27,6
Wellesley,"29,049",13,0,1,3,9,159,33,125,1,0
Wellfleet,"2,737",3,0,2,0,1,32,6,23,3,0
Wenham,"5,198",6,0,1,0,5,11,1,10,0,0
Westborough,"18,984",15,0,6,0,9,144,16,123,5,0
West Boylston,"7,895",8,0,0,3,5,89,13,73,3,1
West Bridgewater,"7,097",14,0,0,2,12,130,19,91,20,0
Westfield,"41,700",93,0,17,10,66,550,116,414,20,5
Westford,"24,103",21,0,4,1,16,88,16,69,3,0
Westminster,"7,595",19,0,0,0,19,71,11,55,5,1
West Newbury,"4,582",1,0,1,0,0,25,5,18,2,0
Weston,"12,147",10,0,5,0,5,52,6,42,4,0
Westport,"15,798",22,0,4,0,18,149,48,92,9,1
West Springfield,"28,689",188,1,20,38,129,"1,206",134,"1,002",70,3
West Tisbury,"2,927",7,0,0,0,7,19,9,8,2,0
Westwood,"16,285",22,0,4,4,14,174,11,162,1,0
Weymouth,"56,149",161,0,11,28,122,527,87,411,29,2
Whately,"1,523",1,0,0,0,1,16,4,11,1,0
Whitman,"14,852",33,0,4,4,25,121,26,85,10,0
Wilbraham,"14,684",18,0,5,1,12,165,48,104,13,3
Williamsburg,"2,466",2,0,0,0,2,14,8,6,0,0
Williamstown,"7,591",12,0,6,1,5,130,12,117,1,0
Wilmington,"23,667",44,0,1,5,38,175,26,136,13,2
Winchendon,"10,727",38,0,8,2,28,179,18,150,11,2
Winchester,"22,523",4,0,1,1,2,166,21,140,5,0
Winthrop,"18,216",75,0,1,3,71,153,58,89,6,0
Woburn,"39,638",82,0,9,10,63,446,61,365,20,0
Worcester,"184,595","1,642",8,63,394,"1,177","5,358","1,366","3,473",519,5
Wrentham,"11,614",5,0,0,1,4,215,9,198,8,0
Yarmouth4,"23,299",,0,13,4,,468,98,352,18,2
1 The figures shown in this column for the offense of rape were reported using the revised Uniform Crime Reporting (UCR) definition of rape. See the data declaration for further explanation.,,,,,,,,,,,
2 The figures shown in this column for the offense of rape were reported using the legacy UCR definition of rape. See the data declaration for further explanation.,,,,,,,,,,,
3 The FBI does not publish arson data unless it receives data from either the agency or the state for all 12 months of the calendar year.,,,,,,,,,,,
"4 The FBI determined that the agency's data were overreported. Consequently, those data are not included in this table.",,,,,,,,,,,
